Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
152,MURS-02,151.880000,,0.600000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
153,MURS-03,151.940000,,0.600000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
154,MURS-04,154.570000,,0.600000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
155,MURS-05,154.600000,,0.600000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
156,POMP HU1,154.680000,split,0.000156,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
157,POMP HU2,154.770000,split,0.000157,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
158,POL GAT1,154.980000,split,0.000158,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
159,POL GAT2,154.040000,split,0.000159,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
160,POMP GAT,153.980000,split,0.000160,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
161,MRC-P1,153.530000,split,0.000161,TSQL,151.4,151.4,023,NN,FM,5.00,,,,,,
162,MRC-P2,152.165000,split,0.000162,TSQL,127.3,127.3,023,NN,FM,5.00,,,,,,
163,MRC-P3,153.635000,split,0.000163,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
164,MRC-P4,153.785000,split,0.000164,TSQL,141.3,141.3,023,NN,FM,5.00,,,,,,
165,CASINO 1,458.087500,split,0.000165,,100.0,100.0,023,NN,FM,12.50,,,,,,
166,CASINO 2,458.662500,split,0.000166,,100.0,100.0,023,NN,FM,12.50,,,,,,
167,CASINO 3,464.500000,split,0.000167,,100.0,100.0,023,NN,FM,12.50,S,,,,,
168,CASINO 4,466.262500,split,0.000168,,100.0,100.0,023,NN,FM,12.50,,,,,,
169,SQ-SIMP1,171.180000,split,0.000169,Tone,141.3,141.3,023,NN,FM,5.00,,,,,,
170,SQ-SIMP2,172.080000,split,0.000170,Tone,141.3,141.3,023,NN,FM,5.00,,,,,,
171,SQ-SIMP3,171.075000,split,0.000171,Tone,141.3,141.3,023,NN,FM,5.00,,,,,,
172,ChassRip,171.000000,split,0.000172,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
173,ChassCFo,171.960000,split,0.000173,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
174,ChassCaB,171.420000,split,0.000174,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
175,AMBUL 1,162.900000,split,0.000175,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
176,AMBUL 2,158.760000,split,0.000176,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
177,AYLMER P,412.112500,split,0.000177,Tone,123.0,123.0,023,NN,FM,12.50,,,,,,
178,MIN TRAN,164.280000,split,0.000178,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
179,Min Comm,141.915000,split,0.000179,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
180,STO_1,411.837500,split,0.000180,Tone,110.9,110.9,023,NN,FM,12.50,,,,,,
181,STO_2,412.862500,split,0.000181,Tone,110.9,110.9,023,NN,FM,12.50,,,,,,
182,CAMDEV,451.850000,split,0.000182,Tone,110.9,110.9,023,NN,FM,12.50,,,,,,
183,PWC 1,411.712500,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,,,,,,
184,VA3ICQ,444.100000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,,,,,,
185,MET-MT&P,162.475000,split,0.000185,,110.9,110.9,023,NN,FM,5.00,S,,,,,
186,CFRA,450.150000,split,0.000186,Tone,110.9,110.9,023,NN,FM,12.50,S,,,,,
187,Ski-Fort,159.585000,split,0.000187,,100.0,100.0,023,NN,FM,5.00,,,,,,
188,Ski-Casc,173.940000,split,0.000188,,100.0,100.0,023,NN,FM,5.00,,,,,,
189,ChFer_1,160.605000,split,0.000189,,100.0,100.0,023,NN,FM,5.00,,,,,,
190,ChFer_2,161.115000,split,0.000190,,100.0,100.0,023,NN,FM,5.00,,,,,,
191,ChFer_3,161.265000,split,0.000191,,100.0,100.0,023,NN,FM,5.00,S,,,,,
192,ChFer_4,161.475000,split,0.000192,,100.0,100.0,023,NN,FM,5.00,,,,,,
193,ChFer_5,159.885000,split,0.000193,,100.0,100.0,023,NN,FM,5.00,,,,,,
194,CH23,423.112500,split,0.000194,TSQL,162.2,162.2,023,NN,FM,12.50,,,,,,
195,IRLP3,446.200000,,5.000000,Tone,107.2,107.2,023,NN,FM,12.50,,,,,,
196,IRLP4,444.950000,+,5.000000,Tone,107.2,107.2,023,NN,FM,12.50,,,,,,
197,3e Armon,439.605000,,5.000000,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
198,Commerci,159.780000,split,0.000198,,100.0,100.0,023,NN,FM,5.00,S,,,,,
199,PACSAT J,145.900000,,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
